UniqueCount	AmbigCount
0	11608976
0	3981206
0	804912
0	3996
0	17053
0	662187
0	3052
0	1112
0	296
0	86
0	34
0	6
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	5
0	1
0	4
0	0
0	2
0	7
0	14
0	0
0	3
0	0
0	0
0	25
0	2
0	13
0	14
0	3
0	12
0	1
0	2
0	6
0	0
0	4
0	5
0	6
0	0
0	6
0	4
0	0
0	13
0	0
0	8
0	0
0	19
0	14
0	1
0	4
0	0
0	7
0	3
0	0
0	4
0	6
0	8
0	2
0	14
0	11
0	17
0	2
0	0
0	8
0	4
0	3
0	1
0	1
0	3
0	9
0	32
0	7
0	16
0	2
0	2
0	6
0	3
0	5
0	4
0	2
0	4
0	1
0	0
0	14
0	3
0	10
0	8
0	0
0	4
0	4
0	18
0	3
0	6
0	9
0	0
0	1
0	0
0	8
0	0
0	4
0	8
0	7
0	9
0	11
0	11
0	10
0	2
0	4
0	4
0	6
0	4
0	2
0	1
0	1
0	3
0	6
0	19
0	6
0	5
0	16
0	6
0	2
0	2
0	0
0	5
0	6
0	0
0	2
0	2
0	1
0	4
0	6
0	2
0	0
0	3
0	6
0	1
0	2
0	4
0	11
0	5
0	0
0	0
0	8
0	0
0	34
0	11
0	15
0	5
0	13
0	20
0	22
0	24
0	9
0	21
0	27
0	0
0	20
0	21
0	10
0	5
0	2
0	0
0	1
0	0
0	2
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	2
0	2
0	0
0	0
0	0
0	1
0	0
0	23
0	1
0	1
0	1
0	1
0	1
0	5
0	0
0	25
0	7
0	27
0	27
0	9
0	1
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	36
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	9
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	115
0	90
0	0
0	46
0	46
0	0
0	0
0	0
0	20
0	79
0	224
0	96
0	161
0	91
0	95
0	28
0	37
0	21
0	3
0	4
0	1
0	409
0	501
0	54
0	197
0	53
0	33
0	445
0	518
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	42
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7787
0	2031
0	3
0	20497
0	9666
0	15640
0	16896
0	13264
0	402
0	1628
0	2803
0	16689
0	12640
0	4189
0	119
0	19297
0	2116
0	2031
0	9537
0	5135
0	5283
0	4
0	4
0	1631
0	2056
0	2803
0	23311
0	108
0	240
0	83
0	742
0	3
0	364
0	709
0	136
0	174
0	256
0	3573
0	536
0	859
0	691
0	36
0	201
0	59
0	66
0	210
0	815
0	528
0	1620
0	867
0	112
0	22
0	647
0	367
0	686
0	68
0	646
0	48
0	63
0	77
0	79
0	47
0	299
0	730
0	4
0	735
0	1
0	121
0	17
0	100
0	603
0	555
0	102
0	18
0	438
0	2428
0	262
0	845
0	261
0	419
0	1185
0	1471
0	1542
0	0
0	18
0	106
0	113
0	3
0	3
0	41
0	27
0	1369
0	174
0	53
0	164
0	375
0	1481
0	376
0	1272
0	238
0	244
0	4363
0	25
0	71
0	296
0	2705
0	488
0	642
0	1010
0	78
0	1871
0	114
0	123
0	23
0	326
0	693
0	6
0	1946
0	510
0	21
0	800
0	101
0	942
0	12
0	69
0	1
0	3508
0	379
0	210
0	2032
0	114
0	36
0	369
0	11
0	96
0	3573
0	17
0	689
0	22
0	647
0	709
0	1642
0	1043
0	68
0	815
0	214
0	904
0	215
0	314
0	30
0	851
0	0
0	21
0	994
0	238
0	61
0	9
0	1543
0	764
0	51
0	1545
0	0
0	99
0	7
0	28
0	8
0	536
0	63
0	418
0	367
0	0
0	255
0	121
0	686
0	112
0	77
0	845
0	1052
0	277
0	79
0	100
0	555
0	4
0	27
0	46
0	1284
0	126
0	1854
0	67
0	1010
0	376
0	159
0	2705
0	34
0	23
0	16
0	2224
0	2
0	69
0	164
0	949
0	464
0	346
0	685
0	69
0	11
0	134
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3253
0	1443
0	15196
0	5733
0	2508
0	2021
0	3147
0	155
0	4168
0	3515
0	2680
0	833
0	3526
0	3
0	138
0	116
0	122
0	94
0	99
0	13
0	67
0	8
0	70
0	69
0	7
0	18
0	19
0	15
0	3
0	175
0	149
0	4
0	18
0	17
0	6
0	13
0	26
0	97
0	80
0	85
0	91
0	158
0	101
0	130
0	91
0	120
0	121
0	112
0	124
0	71
0	1
0	4
0	1
0	3
0	4
0	2
0	2
0	15
0	24
0	21
0	21
0	20
0	9
0	22
0	19
0	14
0	18
0	11
0	20
0	17
0	21
0	12
0	18
0	23
0	22
0	6
0	1
0	17
0	21
0	21
0	16
0	18
